classifier_name,dataset_name,accuracy
MLCN,LIB,0.85
MLCN,LSST,0.39
MLCN,MI,0.51
MLCN,NATO,0.9
MLCN,PD,0.979
MLCN,PEMS,0.745
MLCN,PS,0.151
MLCN,RS,0.856
MLCN,SRS1,0.908
MLCN,SRS2,0.506
MLCN,SAD,0
MLCN,SWJ,0.4
MLCN,UW,0.859
RISE,AWR,0.963
RISE,AF,0.267
RISE,BM,1
RISE,CT,0.986
RISE,CK,0
RISE,DDG,0.22
RISE,EW,0.626
RISE,EP,0.979
RISE,EC,0.445
RISE,ER,0.881
RISE,FD,0.64
RISE,FM,0.581
RISE,HMD,0.481
RISE,HW,0.359
RISE,HB,0.535
RISE,IW,0
RISE,JV,0
RISE,LIB,0.806
RISE,LSST,0.161
RISE,MI,0.48
RISE,NATO,0.8
RISE,PD,0.892
RISE,PEMS,0.982
RISE,PS,0.137
RISE,RS,0.895
RISE,SRS1,0.84
RISE,SRS2,0.483
RISE,SAD,0
RISE,SWJ,0.333
RISE,UW,0.775
TSF,AWR,0.953
TSF,AF,0.2
TSF,BM,1
TSF,CT,0.931
TSF,CK,0
TSF,DDG,0.46
TSF,EW,0.712
TSF,EP,1
TSF,EC,0.487
TSF,ER,0.859
TSF,FD,0.508
TSF,FM,0.562
TSF,HMD,0.312
TSF,HW,0.191
TSF,HB,0.518
TSF,IW,0
TSF,JV,0
TSF,LIB,0.806
TSF,LSST,0.265
TSF,MI,0.55
TSF,NATO,0.839
TSF,PD,0.831
TSF,PEMS,0.994
TSF,PS,0.269
TSF,RS,0.823
TSF,SRS1,0.724
TSF,SRS2,0.494
TSF,SAD,0
TSF,SWJ,0.267
TSF,UW,0.684
TapNet,AWR,0.987
TapNet,AF,0.333
TapNet,BM,1
TapNet,CT,0.997
TapNet,CK,0.958
TapNet,DDG,0.575
TapNet,EW,0.489
TapNet,EP,0.971
TapNet,EC,0.323
TapNet,ER,0.133
TapNet,FD,0.556
TapNet,FM,0.53
TapNet,HMD,0.378
TapNet,HW,0.357
TapNet,HB,0.751
TapNet,IW,0.208
TapNet,JV,0.965
TapNet,LIB,0.85
TapNet,LSST,0.568
TapNet,MI,0.59
TapNet,NATO,0.939
TapNet,PD,0.98
TapNet,PEMS,0.751
TapNet,PS,0.175
TapNet,RS,0.868
TapNet,SRS1,0.652
TapNet,SRS2,0.55
TapNet,SAD,0.983
TapNet,SWJ,0.4
TapNet,UW,0.894
DA-Net,AWR,0.98
DA-Net,AF,0.467
DA-Net,BM,0.925
DA-Net,CT,0.998
DA-Net,CK,0.861
DA-Net,DDG,0.52
DA-Net,EW,0.489
DA-Net,EP,0.883
DA-Net,EC,0.338
DA-Net,ER,0.874
DA-Net,FD,0.648
DA-Net,FM,0.51
DA-Net,HMD,0.365
DA-Net,HW,0.159
DA-Net,HB,0.624
DA-Net,IW,0.567
DA-Net,JV,0.938
DA-Net,LIB,0.8
DA-Net,LSST,0.56
DA-Net,MI,0.5
DA-Net,NATO,0.878
DA-Net,PD,0.98
DA-Net,PEMS,0.867
DA-Net,PS,0.093
DA-Net,RS,0.803
DA-Net,SRS1,0.924
DA-Net,SRS2,0.561
DA-Net,SAD,0.98
DA-Net,SWJ,0.4
DA-Net,UW,0.833
CMFM + SVM,AWR,0.973
CMFM + SVM,AF,0.267
CMFM + SVM,BM,0.975
CMFM + SVM,CT,0.97
CMFM + SVM,CK,0.958
CMFM + SVM,DDG,0.42
CMFM + SVM,EW,0.847
CMFM + SVM,EP,0.978
CMFM + SVM,EC,0.228
CMFM + SVM,ER,0.93
CMFM + SVM,FD,0.583
CMFM + SVM,FM,0.46
CMFM + SVM,HMD,0.284
CMFM + SVM,HW,0.187
CMFM + SVM,HB,0.727
CMFM + SVM,IW,0.1
CMFM + SVM,JV,0.778
CMFM + SVM,LIB,0.817
CMFM + SVM,LSST,0.652
CMFM + SVM,MI,0.5
CMFM + SVM,NATO,0.8
CMFM + SVM,PD,0.665
CMFM + SVM,PEMS,0.959
CMFM + SVM,PS,0.247
CMFM + SVM,RS,0.809
CMFM + SVM,SRS1,0.771
CMFM + SVM,SRS2,0.45
CMFM + SVM,SAD,0.979
CMFM + SVM,SWJ,0.267
CMFM + SVM,UW,0.728
DKN,AWR,0.993
DKN,AF,0.467
DKN,BM,1
DKN,CT,0.986
DKN,CK,0.951
DKN,DDG,0.56
DKN,EW,0.628
DKN,EP,0.979
DKN,EC,0.372
DKN,ER,0.933
DKN,FD,0.631
DKN,FM,0.6
DKN,HMD,0.662
DKN,HW,0.231
DKN,HB,0.765
DKN,IW,0.362
DKN,JV,0.93
DKN,LIB,0.9
DKN,LSST,0.347
DKN,MI,0.62
DKN,NATO,0.872
DKN,PD,0.948
DKN,PEMS,0.93
DKN,PS,0.325
DKN,RS,0.879
DKN,SRS1,0.913
DKN,SRS2,0.6
DKN,SAD,0.963
DKN,SWJ,0.533
DKN,UW,0.897
MiniROCKET,AWR,0.992
MiniROCKET,AF,0.133
MiniROCKET,BM,1
MiniROCKET,CT,0.065
MiniROCKET,CK,0.986
MiniROCKET,DDG,0.65
MiniROCKET,EW,0.954
MiniROCKET,EP,1
MiniROCKET,EC,0.38
MiniROCKET,ER,0.981
MiniROCKET,FD,0.631
MiniROCKET,FM,0.45
MiniROCKET,HMD,0.392
MiniROCKET,HW,0.511
MiniROCKET,HB,0.771
MiniROCKET,IW,0.595
MiniROCKET,JV,0.989
MiniROCKET,LIB,0.878
MiniROCKET,LSST,0.643
MiniROCKET,MI,0.55
MiniROCKET,NATO,0.928
MiniROCKET,PD,0.965
MiniROCKET,PEMS,0.522
MiniROCKET,PS,0.292
MiniROCKET,RS,0.868
MiniROCKET,SRS1,0.874
MiniROCKET,SRS2,0.522
MiniROCKET,SAD,0.1
MiniROCKET,SWJ,0.333
MiniROCKET,UW,0.916
MLP,AWR,0.043
MLP,AF,0.4
MLP,BM,0.875
MLP,CT,0.056
MLP,CK,0.111
MLP,DDG,0.36
MLP,EW,0.233
MLP,EP,0.312
MLP,EC,0.3
MLP,ER,0.159
MLP,FD,0.565
MLP,FM,0.51
MLP,HMD,0.216
MLP,HW,0.038
MLP,HB,0.665
MLP,IW,0.104
MLP,JV,0.114
MLP,LIB,0.078
MLP,LSST,0.326
MLP,MI,0.53
MLP,NATO,0.167
MLP,PD,0.211
MLP,PEMS,0.34
MLP,PS,0.414
MLP,RS,0.276
MLP,SRS1,0.686
MLP,SRS2,0.456
MLP,SAD,0.108
MLP,SWJ,0.2
MLP,UW,0.131
FCN,AWR,0.823
FCN,AF,0.2
FCN,BM,1
FCN,CT,0.741
FCN,CK,0.917
FCN,DDG,0.6
FCN,EW,0.684
FCN,EP,0.935
FCN,EC,0.349
FCN,ER,0.778
FCN,FD,0.518
FCN,FM,0.51
FCN,HMD,0.27
FCN,HW,0.192
FCN,HB,0.724
FCN,IW,0.491
FCN,JV,0.941
FCN,LIB,0.478
FCN,LSST,0.337
FCN,MI,0.59
FCN,NATO,0.9
FCN,PD,0.97
FCN,PEMS,0.832
FCN,PS,0.466
FCN,RS,0.796
FCN,SRS1,0.805
FCN,SRS2,0.511
FCN,SAD,0.729
FCN,SWJ,0.267
FCN,UW,0.497
InceptionTime,AWR,0.897
InceptionTime,AF,0.267
InceptionTime,BM,1
InceptionTime,CT,0.935
InceptionTime,CK,0.958
InceptionTime,DDG,0.56
InceptionTime,EW,0.727
InceptionTime,EP,0.935
InceptionTime,EC,0.321
InceptionTime,ER,0.822
InceptionTime,FD,0.528
InceptionTime,FM,0.5
InceptionTime,HMD,0.392
InceptionTime,HW,0.294
InceptionTime,HB,0.717
InceptionTime,IW,0.302
InceptionTime,JV,0.949
InceptionTime,LIB,0.744
InceptionTime,LSST,0.29
InceptionTime,MI,0.53
InceptionTime,NATO,0.889
InceptionTime,PD,0.977
InceptionTime,PEMS,0.888
InceptionTime,PS,0.466
InceptionTime,RS,0.829
InceptionTime,SRS1,0.805
InceptionTime,SRS2,0.561
InceptionTime,SAD,0.872
InceptionTime,SWJ,0.133
InceptionTime,UW,0.544
ResNet,AWR,0.943
ResNet,AF,0.2
ResNet,BM,1
ResNet,CT,0.977
ResNet,CK,0.958
ResNet,DDG,0.6
ResNet,EW,0.833
ResNet,EP,0.964
ResNet,EC,0.317
ResNet,ER,0.907
ResNet,FD,0.534
ResNet,FM,0.46
ResNet,HMD,0.216
ResNet,HW,0.382
ResNet,HB,0.716
ResNet,IW,0.231
ResNet,JV,0.924
ResNet,LIB,0.844
ResNet,LSST,0.232
ResNet,MI,0.56
ResNet,NATO,0.878
ResNet,PD,0.973
ResNet,PEMS,0.828
ResNet,PS,0.466
ResNet,RS,0.836
ResNet,SRS1,0.761
ResNet,SRS2,0.511
ResNet,SAD,0.932
ResNet,SWJ,0.133
ResNet,UW,0.759
Conv-GRU,AWR,0.973
Conv-GRU,AF,0.467
Conv-GRU,BM,1
Conv-GRU,CT,0.966
Conv-GRU,CK,0.943
Conv-GRU,DDG,0.54
Conv-GRU,EW,0.811
Conv-GRU,EP,0.978
Conv-GRU,EC,0.332
Conv-GRU,ER,0.4
Conv-GRU,FD,0.64
Conv-GRU,FM,0.58
Conv-GRU,HMD,0.338
Conv-GRU,HW,0.451
Conv-GRU,HB,0.746
Conv-GRU,IW,0.208
Conv-GRU,JV,0.991
Conv-GRU,LIB,0.889
Conv-GRU,LSST,0.548
Conv-GRU,MI,0.512
Conv-GRU,NATO,0.916
Conv-GRU,PD,0.939
Conv-GRU,PEMS,0.874
Conv-GRU,PS,0.215
Conv-GRU,RS,0.888
Conv-GRU,SRS1,0.843
Conv-GRU,SRS2,0.566
Conv-GRU,SAD,0.963
Conv-GRU,SWJ,0.426
Conv-GRU,UW,0.913
